,Unnamed: 0,Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Month,Day,Unnamed: 24,BCFG,BR,DZ,FG,FG+,FU,GR,HZ,MIFG,RA,SN,SQ,TS,TSRA,VCFG,VCTS
27,28,1.0,2007-05-15,80.0,57.0,69.0,11.0,56.0,61.0,0.0,4.0,0432,1904,RA BR,0.0,0.38,29.13,29.84,8.1,27.0,12.3,2007,5,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30,1.0,2007-05-16,66.0,44.0,55.0,-4.0,43.0,48.0,10.0,0.0,0431,1905,RA BR,0.0,0.14,29.33,30.03,7.8,36.0,12.2,2007,5,16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,32,1.0,2007-05-17,62.0,43.0,53.0,-6.0,32.0,43.0,12.0,0.0,0430,1906, ,0.0,0.0,29.55,30.27,10.5,3.0,11.3,2007,5,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,34,1.0,2007-05-18,71.0,42.0,57.0,-3.0,30.0,46.0,8.0,0.0,0429,1907, ,0.0,0.0,29.53,30.25,5.4,25.0,7.5,2007,5,18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,36,1.0,2007-05-19,80.0,56.0,68.0,8.0,39.0,53.0,0.0,3.0,0428,1908, ,0.0,0.0,29.34,30.08,11.1,24.0,11.4,2007,5,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,38,1.0,2007-05-20,69.0,43.0,56.0,-5.0,40.0,44.0,9.0,0.0,0427,1909,RA VCTS,0.0,0.07,29.38,30.11,10.4,4.0,10.7,2007,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
39,40,1.0,2007-05-21,80.0,44.0,62.0,1.0,50.0,56.0,3.0,0.0,0426,1910, ,0.0,0.0,29.33,30.06,6.3,11.0,8.2,2007,5,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,42,1.0,2007-05-22,87.0,55.0,71.0,10.0,46.0,58.0,0.0,6.0,0425,1911, ,0.0,0.0,29.34,30.06,10.0,18.0,10.2,2007,5,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,44,1.0,2007-05-23,89.0,60.0,75.0,14.0,49.0,61.0,0.0,10.0,0425,1912, ,0.0,0.0,29.39,30.1,11.4,19.0,11.8,2007,5,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,46,1.0,2007-05-24,88.0,63.0,76.0,14.0,54.0,63.0,0.0,11.0,0424,1913,RA HZ,0.0,0.02,29.41,30.11,14.9,21.0,17.3,2007,5,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,48,1.0,2007-05-25,70.0,56.0,63.0,1.0,44.0,53.0,2.0,0.0,0423,1914, ,0.0,0.1,29.51,30.24,4.9,5.0,8.8,2007,5,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,50,1.0,2007-05-26,65.0,49.0,57.0,-5.0,55.0,56.0,8.0,0.0,0422,1915,TSRA RA BR HZ,0.0,1.01,29.36,30.11,2.8,17.0,7.2,2007,5,26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
51,52,1.0,2007-05-27,75.0,57.0,66.0,4.0,47.0,56.0,0.0,1.0,0422,1916,RA BR,0.0,0.04,29.34,30.06,8.9,26.0,9.5,2007,5,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,54,1.0,2007-05-28,79.0,50.0,65.0,2.0,47.0,56.0,0.0,0.0,0421,1916,RA,0.0,0.1,29.43,30.15,4.8,10.0,5.3,2007,5,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,56,1.0,2007-05-29,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,0421,1917,BR HZ,0.0,0.0,29.39,30.11,5.8,18.0,6.5,2007,5,29,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,58,1.0,2007-05-30,87.0,66.0,77.0,13.0,58.0,65.0,0.0,12.0,0420,1918,HZ,0.0,0.0,29.31,30.04,10.3,19.0,10.6,2007,5,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,60,1.0,2007-05-31,78.0,65.0,72.0,8.0,61.0,65.0,0.0,7.0,0420,1919,RA HZ,0.0,0.01,29.28,30.0,9.3,19.0,9.9,2007,5,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,62,1.0,2007-06-01,85.0,62.0,74.0,10.0,63.0,66.0,0.0,9.0,0419,1920,TSRA BR HZ,0.0,0.19,29.19,29.91,4.2,17.0,6.4,2007,6,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,64,1.0,2007-06-02,81.0,65.0,73.0,9.0,63.0,67.0,0.0,8.0,0419,1920,RA BR,0.0,0.04,29.03,29.77,6.5,22.0,7.4,2007,6,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,66,1.0,2007-06-03,78.0,62.0,70.0,6.0,60.0,63.0,0.0,5.0,0418,1921,TSRA RA BR HZ,0.0,0.01,28.82,29.56,5.2,25.0,6.7,2007,6,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
67,68,1.0,2007-06-04,71.0,58.0,65.0,1.0,58.0,60.0,0.0,0.0,0418,1922,TSRA RA BR,0.0,0.39,28.82,29.52,7.8,31.0,9.7,2007,6,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
69,70,1.0,2007-06-05,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,0417,1923,RA BR,0.0,0.42,29.1,29.79,5.2,5.0,7.6,2007,6,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,72,1.0,2007-06-06,71.0,44.0,58.0,-8.0,48.0,55.0,7.0,0.0,0417,1923,RA,0.0,0.01,29.07,29.81,10.8,17.0,11.4,2007,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,74,1.0,2007-06-07,91.0,71.0,81.0,15.0,62.0,69.0,0.0,16.0,0417,1924, ,0.0,0.0,28.84,29.55,22.7,20.0,23.1,2007,6,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,76,1.0,2007-06-08,81.0,57.0,69.0,3.0,53.0,61.0,0.0,4.0,0417,1925, ,0.0,0.0,29.18,29.85,10.9,28.0,13.8,2007,6,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,78,1.0,2007-06-09,79.0,52.0,66.0,0.0,47.0,57.0,0.0,1.0,0416,1925, ,0.0,0.0,29.36,30.07,0.3,33.0,5.0,2007,6,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,80,1.0,2007-06-10,81.0,55.0,68.0,1.0,51.0,59.0,0.0,3.0,0416,1926, ,0.0,0.0,29.34,30.05,4.8,17.0,5.6,2007,6,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,82,1.0,2007-06-11,86.0,58.0,72.0,5.0,52.0,61.0,0.0,7.0,0416,1926, ,0.0,0.0,29.41,30.11,4.9,11.0,6.9,2007,6,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,84,1.0,2007-06-12,83.0,62.0,73.0,5.0,50.0,60.0,0.0,8.0,0416,1927, ,0.0,0.0,29.44,30.16,8.3,5.0,8.8,2007,6,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,86,1.0,2007-06-13,87.0,60.0,74.0,6.0,53.0,62.0,0.0,9.0,0416,1927, ,0.0,0.0,29.36,30.09,7.2,5.0,8.6,2007,6,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,88,1.0,2007-06-14,89.0,64.0,77.0,9.0,55.0,64.0,0.0,12.0,0416,1928, ,0.0,0.0,29.3,30.02,5.6,5.0,6.8,2007,6,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,90,1.0,2007-06-15,91.0,63.0,77.0,9.0,56.0,64.0,0.0,12.0,0416,1928, ,0.0,0.0,29.28,29.99,4.1,6.0,4.9,2007,6,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,92,1.0,2007-06-16,93.0,66.0,80.0,11.0,60.0,67.0,0.0,15.0,0416,1929,RA HZ,0.0,0.1,29.26,29.97,4.8,28.0,5.8,2007,6,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,94,1.0,2007-06-17,91.0,70.0,81.0,12.0,64.0,70.0,0.0,16.0,0416,1929,HZ,0.0,0.0,29.23,29.95,2.8,11.0,6.3,2007,6,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,96,1.0,2007-06-18,89.0,69.0,79.0,9.0,65.0,70.0,0.0,14.0,0416,1929,TSRA RA HZ,0.0,0.28,29.12,29.84,14.0,20.0,15.1,2007,6,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
96,98,1.0,2007-06-19,80.0,65.0,73.0,3.0,55.0,63.0,0.0,8.0,0416,1930,RA,0.0,0.58,29.26,29.95,10.7,28.0,11.4,2007,6,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,100,1.0,2007-06-20,84.0,61.0,73.0,3.0,52.0,61.0,0.0,8.0,0416,1930, ,0.0,0.0,29.39,30.1,7.8,27.0,8.8,2007,6,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,102,1.0,2007-06-21,77.0,61.0,69.0,-1.0,51.0,60.0,0.0,4.0,0416,1930,RA,0.0,0.01,29.36,30.08,3.5,3.0,10.7,2007,6,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102,104,1.0,2007-06-22,76.0,61.0,69.0,-1.0,50.0,58.0,0.0,4.0,0417,1931,RA,0.0,0.1,29.33,30.06,7.8,6.0,8.7,2007,6,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,106,1.0,2007-06-23,67.0,62.0,65.0,-5.0,58.0,61.0,0.0,0.0,0417,1931,RA BR,0.0,0.05,29.23,29.96,7.6,12.0,9.0,2007,6,23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,108,1.0,2007-06-24,77.0,63.0,70.0,-1.0,62.0,65.0,0.0,5.0,0417,1931,BR HZ,0.0,0.0,29.26,29.97,7.0,9.0,8.0,2007,6,24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,110,1.0,2007-06-25,89.0,65.0,77.0,6.0,66.0,70.0,0.0,12.0,0417,1931,BR HZ,0.0,0.0,29.38,30.07,3.9,14.0,6.8,2007,6,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,112,1.0,2007-06-26,92.0,70.0,81.0,10.0,69.0,72.0,0.0,16.0,0418,1931,TSRA BR HZ VCTS,0.0,0.16,29.39,30.11,6.1,22.0,7.1,2007,6,26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
112,114,1.0,2007-06-27,91.0,71.0,81.0,10.0,70.0,72.0,0.0,16.0,0418,1931,TSRA,0.0,0.15,29.29,30.02,7.5,24.0,8.8,2007,6,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
114,116,1.0,2007-06-28,74.0,58.0,66.0,-5.0,55.0,60.0,0.0,1.0,0419,1931, ,0.0,0.0,29.41,30.09,11.9,3.0,12.5,2007,6,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,118,1.0,2007-06-29,70.0,56.0,63.0,-8.0,55.0,59.0,2.0,0.0,0419,1931, ,0.0,0.0,29.41,30.13,7.6,2.0,8.3,2007,6,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,120,1.0,2007-06-30,79.0,54.0,67.0,-5.0,46.0,56.0,0.0,2.0,0419,1931, ,0.0,0.0,29.41,30.13,4.9,3.0,5.8,2007,6,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,122,1.0,2007-07-01,75.0,54.0,65.0,-7.0,52.0,58.0,0.0,0.0,0420,1931, ,0.0,0.0,29.51,30.23,8.6,4.0,8.6,2007,7,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,124,1.0,2007-07-02,79.0,53.0,66.0,-6.0,50.0,58.0,0.0,1.0,0420,1931, ,0.0,0.0,29.49,30.22,5.9,14.0,8.1,2007,7,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,126,1.0,2007-07-03,83.0,60.0,72.0,0.0,57.0,63.0,0.0,7.0,0421,1931,TSRA RA BR,0.0,0.4,29.31,30.06,6.7,21.0,7.3,2007,7,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
126,128,1.0,2007-07-04,86.0,67.0,77.0,5.0,65.0,69.0,0.0,12.0,0422,1930,TSRA BR HZ FU,0.0,0.16,29.18,29.9,4.6,27.0,8.2,2007,7,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
128,130,1.0,2007-07-05,89.0,71.0,80.0,8.0,60.0,67.0,0.0,15.0,0422,1930,BR HZ FU,0.0,0.0,29.24,29.94,6.4,31.0,8.1,2007,7,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,132,1.0,2007-07-06,86.0,66.0,76.0,4.0,57.0,64.0,0.0,11.0,0423,1930, ,0.0,0.0,29.32,30.03,3.2,5.0,5.5,2007,7,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,134,1.0,2007-07-07,90.0,64.0,77.0,5.0,63.0,69.0,0.0,12.0,0423,1930, ,0.0,0.0,29.18,29.91,8.4,22.0,8.6,2007,7,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,136,1.0,2007-07-08,94.0,75.0,85.0,12.0,67.0,72.0,0.0,20.0,0424,1929, ,0.0,0.0,29.05,29.77,12.9,24.0,13.1,2007,7,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,138,1.0,2007-07-09,94.0,70.0,82.0,9.0,66.0,70.0,0.0,17.0,0425,1929,TSRA RA VCTS,0.0,0.3,29.11,29.8,4.9,24.0,8.8,2007,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
138,140,1.0,2007-07-10,89.0,69.0,79.0,6.0,67.0,70.0,0.0,14.0,0425,1929,HZ VCTS,0.0,0.43,29.06,29.77,8.6,23.0,10.5,2007,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
140,142,1.0,2007-07-11,77.0,62.0,70.0,-3.0,51.0,59.0,0.0,5.0,0426,1928, ,0.0,0.0,29.23,29.93,8.8,30.0,10.9,2007,7,11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,144,1.0,2007-07-12,80.0,61.0,71.0,-2.0,51.0,59.0,0.0,6.0,0427,1928, ,0.0,0.0,29.22,29.93,9.4,29.0,11.1,2007,7,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,146,1.0,2007-07-13,78.0,58.0,68.0,-5.0,52.0,58.0,0.0,3.0,0428,1927, ,0.0,0.0,29.26,29.98,1.4,1.0,5.3,2007,7,13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,148,1.0,2007-07-14,84.0,61.0,73.0,0.0,55.0,62.0,0.0,8.0,0428,1927, ,0.0,0.0,29.08,29.79,8.3,26.0,13.2,2007,7,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,150,1.0,2007-07-15,82.0,60.0,71.0,-3.0,53.0,61.0,0.0,6.0,0429,1926, ,0.0,0.0,29.19,29.89,2.1,29.0,4.9,2007,7,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,152,1.0,2007-07-16,82.0,65.0,74.0,0.0,60.0,65.0,0.0,9.0,0430,1925,RA BR,0.0,0.39,29.25,29.96,4.4,24.0,5.2,2007,7,16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
152,154,1.0,2007-07-17,83.0,68.0,76.0,2.0,66.0,69.0,0.0,11.0,0431,1925,RA BR VCTS,0.0,0.11,29.18,29.9,5.2,23.0,6.5,2007,7,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
154,156,1.0,2007-07-18,85.0,69.0,77.0,3.0,68.0,71.0,0.0,12.0,0432,1924,TSRA RA BR VCTS,0.0,1.55,29.11,29.84,9.1,24.0,10.1,2007,7,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
156,158,1.0,2007-07-19,83.0,63.0,73.0,-1.0,63.0,66.0,0.0,8.0,0433,1923,DZ BR,0.0,0.16,29.21,29.9,7.0,1.0,11.9,2007,7,19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,160,1.0,2007-07-20,75.0,58.0,67.0,-7.0,53.0,59.0,0.0,2.0,0433,1923, ,0.0,0.0,29.44,30.14,8.6,3.0,9.1,2007,7,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,162,1.0,2007-07-21,74.0,58.0,66.0,-8.0,52.0,58.0,0.0,1.0,0434,1922, ,0.0,0.0,29.51,30.22,6.5,3.0,7.4,2007,7,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,164,1.0,2007-07-22,81.0,58.0,70.0,-4.0,55.0,61.0,0.0,5.0,0435,1921, ,0.0,0.0,29.49,30.21,1.7,16.0,3.3,2007,7,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,166,1.0,2007-07-23,83.0,60.0,72.0,-2.0,55.0,63.0,0.0,7.0,0436,1920, ,0.0,0.0,29.37,30.1,3.2,9.0,4.0,2007,7,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
