,Block,Trap,Latitude,Longitude,Id,Year_x,Month_x,Day_x,DayofYear,culex,erraticus,pipiens,restuans,salinarius,tarsalis,territans,60018,60106,60605,60607,60608,60609,60611,60612,60613,60614,60615,60617,60618,60619,60620,60621,60622,60623,60625,60626,60628,60629,60630,60631,60632,60633,60634,60636,60637,60638,60639,60640,60641,60642,60643,60645,60646,60647,60649,60651,60652,60654,60655,60656,60659,60660,60666,60707,60803,60827,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,BCFG,BR,DZ,FG,FG+,FU,GR,HZ,MIFG,RA,SN,SQ,TS,TSRA,VCFG,VCTS
10,21,T050,41.919343,-87.694259,11,2007,5,29,149,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,22,T054,41.921965,-87.632085,12,2007,5,29,149,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,22,T054,41.921965,-87.632085,13,2007,5,29,149,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,22,T086,41.688324,-87.676709,14,2007,5,29,149,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,22,T086,41.688324,-87.676709,15,2007,5,29,149,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,11,T091,41.862292,-87.64886,16,2007,5,29,149,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,17,T094,41.720848,-87.666014,17,2007,5,29,149,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,22,T096,41.731922,-87.677512,18,2007,5,29,149,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,22,T096,41.731922,-87.677512,19,2007,5,29,149,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,53,T129,41.891126,-87.61156,20,2007,5,29,149,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,53,T129,41.891126,-87.61156,21,2007,5,29,149,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,65,T143,41.999128999999996,-87.795585,22,2007,5,29,149,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,75,T148,42.01743,-87.68776899999999,23,2007,5,29,149,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,15,T153,41.907645,-87.760886,24,2007,5,29,149,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,89,T159,41.732984,-87.649642,25,2007,5,29,149,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,88.0,60.0,74.0,10.0,58.0,65.0,0.0,9.0,421.0,1917.0,0.0,0.0,29.39,30.11,5.8,18.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,41,T002,41.95469,-87.800991,26,2007,6,5,156,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,41,T002,41.95469,-87.800991,27,2007,6,5,156,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,41,T002,41.95469,-87.800991,28,2007,6,5,156,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,79,T015,41.974089,-87.824812,29,2007,6,5,156,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,79,T015,41.974089,-87.824812,30,2007,6,5,156,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,15,T045,41.9216,-87.666455,31,2007,6,5,156,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,15,T045,41.9216,-87.666455,32,2007,6,5,156,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,15,T045,41.9216,-87.666455,33,2007,6,5,156,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,25,T046,41.891118,-87.65449100000001,34,2007,6,5,156,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,11,T048,41.867108,-87.654224,35,2007,6,5,156,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,11,T048,41.867108,-87.654224,36,2007,6,5,156,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,11,T048,41.867108,-87.654224,37,2007,6,5,156,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,11,T049,41.896282,-87.655232,38,2007,6,5,156,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,21,T050,41.919343,-87.694259,39,2007,6,5,156,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,21,T050,41.919343,-87.694259,40,2007,6,5,156,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,22,T054,41.921965,-87.632085,41,2007,6,5,156,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,22,T086,41.688324,-87.676709,42,2007,6,5,156,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,17,T094,41.720848,-87.666014,43,2007,6,5,156,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,22,T096,41.731922,-87.677512,44,2007,6,5,156,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,22,T096,41.731922,-87.677512,45,2007,6,5,156,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,22,T096,41.731922,-87.677512,46,2007,6,5,156,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,65,T143,41.999128999999996,-87.795585,47,2007,6,5,156,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,64.0,47.0,56.0,-9.0,48.0,51.0,9.0,0.0,417.0,1923.0,0.0,0.42,29.1,29.79,5.2,5.0,7.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
